,waldStat_1,df_1,pvalue_1,fdr_1,gene_id
Potri.016G006700,322.4980524,8,0,0,Potri.016G006700
Potri.008G088600,321.9814908,8,0,0,Potri.008G088600
Potri.001G233000,321.4314932,8,0,0,Potri.001G233000
Potri.002G123500,316.9639222,8,0,0,Potri.002G123500
Potri.005G062500,316.7189927,8,0,0,Potri.005G062500
Potri.001G131400,316.6945745,8,0,0,Potri.001G131400
Potri.001G366500,315.5302268,8,0,0,Potri.001G366500
Potri.009G011200,315.4498857,8,0,0,Potri.009G011200
Potri.018G113100,314.9796715,8,0,0,Potri.018G113100
Potri.002G009600,313.6320884,8,0,0,Potri.002G009600
Potri.002G206900,313.5507322,8,0,0,Potri.002G206900
Potri.004G049300,313.0583542,8,0,0,Potri.004G049300
Potri.002G246100,312.2962842,8,0,0,Potri.002G246100
Potri.007G121100,310.8712899,8,0,0,Potri.007G121100
Potri.012G077400,309.9294575,8,0,0,Potri.012G077400
Potri.006G117200,309.4290662,8,0,0,Potri.006G117200
Potri.005G093100,308.7740515,8,0,0,Potri.005G093100
Potri.007G041100,308.6091843,8,0,0,Potri.007G041100
Potri.001G009100,308.5227692,8,0,0,Potri.001G009100
Potri.010G212900,308.3966888,8,0,0,Potri.010G212900
Potri.003G139600,307.8658971,8,0,0,Potri.003G139600
Potri.010G180500,307.3310005,8,0,0,Potri.010G180500
Potri.001G041140,306.4235853,8,0,0,Potri.001G041140
Potri.007G032500,306.0160428,8,0,0,Potri.007G032500
Potri.014G039466,305.9704666,8,0,0,Potri.014G039466
Potri.019G080800,305.5228484,8,0,0,Potri.019G080800
Potri.002G024500,305.0760476,8,0,0,Potri.002G024500
Potri.019G081000,304.6578808,8,0,0,Potri.019G081000
Potri.001G200400,303.6291678,8,0,0,Potri.001G200400
Potri.015G122700,303.5685329,8,0,0,Potri.015G122700
Potri.008G034600,303.1379723,8,0,0,Potri.008G034600
Potri.002G201000,302.961729,8,0,0,Potri.002G201000
Potri.002G059600,302.9406004,8,0,0,Potri.002G059600
Potri.001G246200,302.7681365,8,0,0,Potri.001G246200
Potri.009G060600,302.1873274,8,0,0,Potri.009G060600
Potri.006G087500,300.839973,8,0,0,Potri.006G087500
Potri.014G014200,299.962335,8,0,0,Potri.014G014200
Potri.006G126800,299.3639714,8,0,0,Potri.006G126800
Potri.002G024400,299.1168434,8,0,0,Potri.002G024400
Potri.010G206700,298.8829359,8,0,0,Potri.010G206700
Potri.005G218900,298.3452953,8,0,0,Potri.005G218900
Potri.008G140900,298.0971461,8,0,0,Potri.008G140900
Potri.003G205400,297.2769751,8,0,0,Potri.003G205400
Potri.006G275700,297.2677192,8,0,0,Potri.006G275700
Potri.007G116400,296.2138926,8,0,0,Potri.007G116400
Potri.001G297500,296.2090536,8,0,0,Potri.001G297500
Potri.011G026900,296.1831825,8,0,0,Potri.011G026900
Potri.010G182700,295.5284906,8,0,0,Potri.010G182700
Potri.016G038000,295.2921796,8,0,0,Potri.016G038000
Potri.009G101500,294.1537511,8,0,0,Potri.009G101500
Potri.010G109300,294.0192007,8,0,0,Potri.010G109300
Potri.001G403700,293.5830625,8,0,0,Potri.001G403700
Potri.019G074400,292.683793,8,0,0,Potri.019G074400
Potri.002G160000,291.6272576,8,0,0,Potri.002G160000
Potri.002G223300,291.5352296,8,0,0,Potri.002G223300
Potri.008G196400,291.4018187,8,0,0,Potri.008G196400
Potri.007G082500,290.7885417,8,0,0,Potri.007G082500
Potri.003G107600,289.2981104,8,0,0,Potri.003G107600
Potri.018G087500,289.0506604,8,0,0,Potri.018G087500
Potri.003G015800,288.6606825,8,0,0,Potri.003G015800
Potri.006G006100,288.3522503,8,0,0,Potri.006G006100
Potri.004G118800,287.5930717,8,0,0,Potri.004G118800
Potri.001G072300,287.3144642,8,0,0,Potri.001G072300
Potri.001G262100,285.4120495,8,0,0,Potri.001G262100
Potri.011G010400,285.2774687,8,0,0,Potri.011G010400
Potri.015G091400,285.2485183,8,0,0,Potri.015G091400
Potri.001G399100,284.9652117,8,0,0,Potri.001G399100
Potri.002G100400,284.8357109,8,0,0,Potri.002G100400
Potri.002G262800,283.6925826,8,0,0,Potri.002G262800
Potri.002G138900,283.2513844,8,0,0,Potri.002G138900
Potri.009G120300,283.0319193,8,0,0,Potri.009G120300
Potri.002G101800,282.7196564,8,0,0,Potri.002G101800
Potri.016G006900,282.5350934,8,0,0,Potri.016G006900
Potri.012G086700,282.4603783,8,0,0,Potri.012G086700
Potri.001G247700,281.938099,8,0,0,Potri.001G247700
Potri.006G194900,281.7813584,8,0,0,Potri.006G194900
Potri.017G015700,281.0607009,8,0,0,Potri.017G015700
Potri.002G070900,280.648646,8,0,0,Potri.002G070900
Potri.001G059400,279.3580954,8,0,0,Potri.001G059400
Potri.018G114700,277.5013942,8,0,0,Potri.018G114700
Potri.018G107300,276.7421281,8,0,0,Potri.018G107300
Potri.009G106600,276.5323051,8,0,0,Potri.009G106600
Potri.013G008500,276.1325831,8,0,0,Potri.013G008500
Potri.016G024600,274.4958707,8,0,0,Potri.016G024600
Potri.005G195600,274.4437146,8,0,0,Potri.005G195600
Potri.008G074800,274.2582987,8,0,0,Potri.008G074800
Potri.008G107900,273.6617563,8,0,0,Potri.008G107900
Potri.005G001700,273.6009291,8,0,0,Potri.005G001700
Potri.005G177200,271.5318162,8,0,0,Potri.005G177200
Potri.003G098800,271.1458451,8,0,0,Potri.003G098800
Potri.006G228900,270.5740353,8,0,0,Potri.006G228900
Potri.008G092500,269.7889217,8,0,0,Potri.008G092500
Potri.008G087700,269.7154197,8,0,0,Potri.008G087700
Potri.015G040900,269.2412117,8,0,0,Potri.015G040900
Potri.008G055100,269.145003,8,0,0,Potri.008G055100
Potri.018G005600,268.6150959,8,0,0,Potri.018G005600
Potri.019G125000,267.9306702,8,0,0,Potri.019G125000
Potri.009G136400,267.844326,8,0,0,Potri.009G136400
Potri.010G113700,267.7867357,8,0,0,Potri.010G113700
Potri.004G086100,267.7330025,8,0,0,Potri.004G086100
Potri.001G041900,267.6365504,8,0,0,Potri.001G041900
Potri.010G227000,266.6814046,8,0,0,Potri.010G227000
Potri.008G102900,266.6430832,8,0,0,Potri.008G102900
Potri.005G141600,266.5449203,8,0,0,Potri.005G141600
Potri.003G169300,264.6504266,8,0,0,Potri.003G169300
Potri.005G001200,264.1331812,8,0,0,Potri.005G001200
Potri.008G077800,264.1252885,8,0,0,Potri.008G077800
Potri.015G096900,264.0775803,8,0,0,Potri.015G096900
Potri.010G067900,263.8110579,8,0,0,Potri.010G067900
Potri.006G137300,263.4831133,8,0,0,Potri.006G137300
Potri.009G122100,263.2965945,8,0,0,Potri.009G122100
Potri.002G127700,262.840844,8,0,0,Potri.002G127700
Potri.009G073600,262.7455735,8,0,0,Potri.009G073600
Potri.006G164632,261.5235549,8,0,0,Potri.006G164632
