,waldStat_2,df_2,pvalue_2,fdr_2,gene_id
Potri.015G134900,36.39075388,8,1.49E-05,9.57E-05,Potri.015G134900
Potri.015G003300,36.38600971,8,1.49E-05,9.59E-05,Potri.015G003300
Potri.003G048800,36.37400723,8,1.50E-05,9.64E-05,Potri.003G048800
Potri.018G145532,36.34849386,8,1.52E-05,9.74E-05,Potri.018G145532
Potri.019G089700,36.34341313,8,1.52E-05,9.76E-05,Potri.019G089700
Potri.001G332100,36.34277149,8,1.52E-05,9.76E-05,Potri.001G332100
Potri.010G220100,36.31444059,8,1.54E-05,9.87E-05,Potri.010G220100
Potri.011G049400,36.31203202,8,1.54E-05,9.88E-05,Potri.011G049400
Potri.002G152900,36.29405432,8,1.55E-05,9.95E-05,Potri.002G152900
Potri.008G129500,36.28469824,8,1.56E-05,9.99E-05,Potri.008G129500
Potri.011G087900,36.26166688,8,1.57E-05,0.000100849,Potri.011G087900
Potri.001G118400,36.24331331,8,1.58E-05,0.00010161,Potri.001G118400
Potri.001G470200,36.19338948,8,1.62E-05,0.000103749,Potri.001G470200
Potri.013G012900,36.19060857,8,1.62E-05,0.000103848,Potri.013G012900
Potri.006G214000,36.18145863,8,1.63E-05,0.000104226,Potri.006G214000
Potri.012G022700,36.18055001,8,1.63E-05,0.000104242,Potri.012G022700
Potri.007G136700,36.1752769,8,1.63E-05,0.00010445,Potri.007G136700
Potri.010G107300,36.1736742,8,1.63E-05,0.000104497,Potri.010G107300
Potri.007G107100,36.17267932,8,1.63E-05,0.000104518,Potri.007G107100
Potri.018G066300,36.16677368,8,1.64E-05,0.000104755,Potri.018G066300
Potri.006G215000,36.15491741,8,1.64E-05,0.000105256,Potri.006G215000
Potri.006G086900,36.11512703,8,1.67E-05,0.000107013,Potri.006G086900
Potri.004G053600,36.08309271,8,1.70E-05,0.000108444,Potri.004G053600
Potri.005G107700,36.01380439,8,1.75E-05,0.000111634,Potri.005G107700
Potri.011G062950,35.99242733,8,1.76E-05,0.000112619,Potri.011G062950
Potri.006G168400,35.96593286,8,1.78E-05,0.000113857,Potri.006G168400
Potri.002G096500,35.94485234,8,1.80E-05,0.000114847,Potri.002G096500
Potri.010G189000,35.93577164,8,1.80E-05,0.000115262,Potri.010G189000
Potri.005G028800,35.9330334,8,1.81E-05,0.000115369,Potri.005G028800
Potri.002G256400,35.91907733,8,1.82E-05,0.000116023,Potri.002G256400
Potri.001G089500,35.89695898,8,1.83E-05,0.000117083,Potri.001G089500
Potri.007G074800,35.89082159,8,1.84E-05,0.000117359,Potri.007G074800
Potri.005G086300,35.85937286,8,1.86E-05,0.000118898,Potri.005G086300
Potri.014G080300,35.85748417,8,1.86E-05,0.000118965,Potri.014G080300
Potri.008G080900,35.85477725,8,1.87E-05,0.000119074,Potri.008G080900
Potri.002G191700,35.85328877,8,1.87E-05,0.000119122,Potri.002G191700
Potri.004G141400,35.82911146,8,1.89E-05,0.000120314,Potri.004G141400
Potri.001G139500,35.81635516,8,1.90E-05,0.000120935,Potri.001G139500
Potri.005G053700,35.75641548,8,1.95E-05,0.000123998,Potri.005G053700
Potri.014G160000,35.74841687,8,1.95E-05,0.000124388,Potri.014G160000
Potri.001G318700,35.74013532,8,1.96E-05,0.000124795,Potri.001G318700
Potri.011G112700,35.72955994,8,1.97E-05,0.000125323,Potri.011G112700
Potri.006G187700,35.68326518,8,2.01E-05,0.000127761,Potri.006G187700
Potri.004G203200,35.67990949,8,2.01E-05,0.000127912,Potri.004G203200
Potri.015G066500,35.67002628,8,2.02E-05,0.000128417,Potri.015G066500
Potri.013G003400,35.66688834,8,2.02E-05,0.000128557,Potri.013G003400
Potri.014G156800,35.66087214,8,2.03E-05,0.000128854,Potri.014G156800
Potri.006G060500,35.65607066,8,2.03E-05,0.000129086,Potri.006G060500
Potri.013G116800,35.636784,8,2.05E-05,0.000130108,Potri.013G116800
Potri.006G208100,35.6206565,8,2.06E-05,0.000130965,Potri.006G208100
Potri.006G046800,35.61113378,8,2.07E-05,0.000131461,Potri.006G046800
Potri.014G123700,35.60505321,8,2.07E-05,0.000131768,Potri.014G123700
Potri.011G051500,35.59642279,8,2.08E-05,0.000132218,Potri.011G051500
Potri.017G086800,35.58213665,8,2.09E-05,0.000132985,Potri.017G086800
Potri.001G331900,35.55124634,8,2.12E-05,0.000134694,Potri.001G331900
Potri.009G119700,35.54685083,8,2.13E-05,0.000134913,Potri.009G119700
Potri.009G068300,35.52571683,8,2.14E-05,0.000136086,Potri.009G068300
Potri.010G150900,35.52369798,8,2.15E-05,0.000136171,Potri.010G150900
Potri.001G420700,35.50693313,8,2.16E-05,0.000137104,Potri.001G420700
Potri.014G023200,35.45932775,8,2.20E-05,0.000139845,Potri.014G023200
Potri.019G014368,35.45436235,8,2.21E-05,0.000140105,Potri.019G014368
Potri.002G011400,35.45381651,8,2.21E-05,0.000140106,Potri.002G011400
Potri.007G028600,35.44569327,8,2.22E-05,0.000140554,Potri.007G028600
Potri.008G216600,35.44395173,8,2.22E-05,0.000140625,Potri.008G216600
Potri.001G030750,35.43020951,8,2.23E-05,0.000141408,Potri.001G030750
Potri.010G076600,35.42132693,8,2.24E-05,0.000141905,Potri.010G076600
Potri.003G202100,35.41150853,8,2.25E-05,0.000142437,Potri.003G202100
Potri.006G095800,35.41137106,8,2.25E-05,0.000142437,Potri.006G095800
Potri.002G100700,35.39054952,8,2.27E-05,0.000143656,Potri.002G100700
Potri.006G147600,35.37944347,8,2.28E-05,0.000144296,Potri.006G147600
Potri.004G157200,35.37385934,8,2.29E-05,0.000144603,Potri.004G157200
Potri.008G040300,35.37108523,8,2.29E-05,0.000144739,Potri.008G040300
Potri.006G047600,35.3620329,8,2.30E-05,0.000145258,Potri.006G047600
Potri.001G239200,35.36043391,8,2.30E-05,0.000145323,Potri.001G239200
Potri.008G179100,35.35018016,8,2.31E-05,0.000145918,Potri.008G179100
Potri.006G102700,35.34044997,8,2.32E-05,0.000146483,Potri.006G102700
Potri.004G077800,35.30202152,8,2.36E-05,0.000148834,Potri.004G077800
Potri.006G149400,35.29606087,8,2.36E-05,0.000149174,Potri.006G149400
Potri.016G069200,35.29154726,8,2.37E-05,0.000149423,Potri.016G069200
Potri.006G213300,35.27535045,8,2.38E-05,0.00015041,Potri.006G213300
Potri.001G418800,35.25483323,8,2.40E-05,0.000151677,Potri.001G418800
Potri.010G230300,35.24352176,8,2.41E-05,0.000152366,Potri.010G230300
Potri.013G113700,35.23756476,8,2.42E-05,0.000152713,Potri.013G113700
Potri.005G111000,35.23421576,8,2.42E-05,0.000152894,Potri.005G111000
Potri.005G146700,35.22895191,8,2.43E-05,0.000153198,Potri.005G146700
Potri.017G067400,35.21707104,8,2.44E-05,0.00015393,Potri.017G067400
Potri.003G201900,35.21253853,8,2.45E-05,0.000154189,Potri.003G201900
Potri.018G104000,35.19968984,8,2.46E-05,0.000154988,Potri.018G104000
Potri.005G161500,35.1885723,8,2.47E-05,0.000155679,Potri.005G161500
Potri.008G013500,35.17828341,8,2.48E-05,0.000156318,Potri.008G013500
Potri.017G085500,35.16922367,8,2.49E-05,0.000156878,Potri.017G085500
Potri.001G421200,35.16751654,8,2.49E-05,0.000156956,Potri.001G421200
Potri.015G097700,35.16304444,8,2.50E-05,0.000157216,Potri.015G097700
Potri.012G081500,35.15625017,8,2.50E-05,0.00015763,Potri.012G081500
Potri.002G179600,35.15546281,8,2.51E-05,0.000157645,Potri.002G179600
Potri.012G044600,35.1549567,8,2.51E-05,0.000157645,Potri.012G044600
Potri.010G109900,35.14471821,8,2.52E-05,0.000158289,Potri.010G109900
Potri.010G033000,35.1410293,8,2.52E-05,0.000158499,Potri.010G033000
Potri.017G113200,35.13550025,8,2.53E-05,0.000158832,Potri.017G113200
Potri.005G152800,35.13173476,8,2.53E-05,0.000159048,Potri.005G152800
Potri.014G032900,35.1309916,8,2.53E-05,0.000159062,Potri.014G032900
Potri.006G254700,35.12520379,8,2.54E-05,0.000159413,Potri.006G254700
Potri.002G101101,35.1110959,8,2.55E-05,0.000160324,Potri.002G101101
Potri.002G174700,35.10869266,8,2.55E-05,0.000160451,Potri.002G174700
Potri.002G115501,35.09817921,8,2.57E-05,0.000161124,Potri.002G115501
Potri.007G001800,35.08427525,8,2.58E-05,0.000162031,Potri.007G001800
Potri.012G000800,35.06657142,8,2.60E-05,0.000163203,Potri.012G000800
Potri.013G035600,35.04887902,8,2.62E-05,0.000164382,Potri.013G035600
Potri.001G359500,35.04429386,8,2.62E-05,0.000164662,Potri.001G359500
Potri.001G112400,35.01824698,8,2.65E-05,0.00016642,Potri.001G112400
Potri.002G159300,35.01792621,8,2.65E-05,0.00016642,Potri.002G159300
Potri.015G049500,35.00200351,8,2.67E-05,0.000167498,Potri.015G049500
Potri.005G170600,34.99277295,8,2.68E-05,0.00016811,Potri.005G170600
Potri.002G052300,34.97692716,8,2.70E-05,0.000169194,Potri.002G052300
Potri.001G334300,34.97455581,8,2.70E-05,0.000169324,Potri.001G334300
Potri.014G188400,34.95836424,8,2.72E-05,0.00017044,Potri.014G188400
Potri.008G063000,34.9270561,8,2.76E-05,0.000172654,Potri.008G063000
Potri.001G082150,34.88784488,8,2.80E-05,0.000175477,Potri.001G082150
Potri.015G094200,34.88510973,8,2.81E-05,0.000175639,Potri.015G094200
Potri.013G040700,34.87686465,8,2.82E-05,0.000176208,Potri.013G040700
Potri.004G111000,34.81089396,8,2.89E-05,0.000181108,Potri.004G111000
Potri.005G196500,34.80633295,8,2.90E-05,0.000181414,Potri.005G196500
Potri.003G157500,34.78795634,8,2.92E-05,0.000182776,Potri.003G157500
Potri.014G074600,34.78046475,8,2.93E-05,0.00018331,Potri.014G074600
Potri.009G099200,34.77272519,8,2.94E-05,0.000183865,Potri.009G099200
Potri.016G129700,34.75770955,8,2.96E-05,0.000184984,Potri.016G129700
Potri.009G137000,34.74421995,8,2.98E-05,0.000185991,Potri.009G137000
Potri.014G014900,34.73456768,8,2.99E-05,0.000186703,Potri.014G014900
Potri.014G170700,34.72250192,8,3.00E-05,0.000187608,Potri.014G170700
Potri.005G230500,34.70350877,8,3.03E-05,0.000189064,Potri.005G230500
Potri.014G004100,34.67387888,8,3.07E-05,0.000191382,Potri.014G004100
Potri.002G094900,34.66388145,8,3.08E-05,0.000192142,Potri.002G094900
Potri.002G192200,34.66220925,8,3.08E-05,0.000192235,Potri.002G192200
Potri.005G213500,34.65720931,8,3.09E-05,0.000192595,Potri.005G213500
Potri.012G077200,34.6560468,8,3.09E-05,0.000192646,Potri.012G077200
Potri.010G037800,34.60537809,8,3.15E-05,0.000196716,Potri.010G037800
Potri.012G039200,34.60504984,8,3.16E-05,0.000196716,Potri.012G039200
Potri.003G104200,34.59851178,8,3.16E-05,0.000197212,Potri.003G104200
Potri.015G009300,34.59115068,8,3.17E-05,0.000197777,Potri.015G009300
Potri.009G170550,34.58229894,8,3.19E-05,0.000198467,Potri.009G170550
