Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.003G097300,28.45667115,2,6.62E-07,0.769685067,6.71E-05,
Potri.009G012200,28.43326003,2,6.70E-07,0.692540185,6.74E-05,
Potri.012G134900,28.43065791,2,6.70E-07,0.822420504,6.74E-05,
Potri.003G083000,28.28782133,2,7.20E-07,1.321535033,7.20E-05,
Potri.005G014200,28.28230074,2,7.22E-07,0.671634313,7.20E-05,
Potri.001G233100,31.21179574,3,7.67E-07,0.789626244,7.61E-05,
Potri.005G188700,31.09800059,3,8.11E-07,0.55816124,8.01E-05,
Potri.008G026900,28.01653687,2,8.25E-07,0.842864683,8.11E-05,
Potri.006G015100,27.87949078,2,8.83E-07,0.337775316,8.63E-05,
Potri.011G136700,30.91802809,3,8.85E-07,0.234614977,8.63E-05,
Potri.005G105600,27.83395415,2,9.04E-07,0.512262373,8.78E-05,
Potri.010G137200,30.73028669,3,9.69E-07,1.386484265,9.37E-05,
Potri.001G028100,27.57218186,2,1.03E-06,0.916600749,9.92E-05,
Potri.006G194900,27.53203614,2,1.05E-06,0.388719563,0.000100797,
Potri.002G049700,27.37836325,2,1.13E-06,0.57795984,0.000107082,
Potri.002G170900,27.40037704,2,1.12E-06,1.125283198,0.000107082,
Potri.014G175200,27.38148464,2,1.13E-06,0.410535665,0.000107082,
Potri.018G068700,30.40392943,3,1.13E-06,0.988416514,0.000107082,
Potri.005G063900,27.35075586,2,1.15E-06,0.972295443,0.000108117,
Potri.010G080600,27.27216303,2,1.20E-06,0.794932194,0.000111995,
Potri.005G218900,27.2425333,2,1.21E-06,0.260113582,0.000113208,
Potri.002G101300,27.13232899,2,1.28E-06,0.43341499,0.00011914,
Potri.007G100100,27.05876168,2,1.33E-06,0.867792406,0.00012311,
Potri.007G131300,26.99535555,2,1.37E-06,0.603347471,0.000126569,
Potri.005G162800,26.82799812,2,1.49E-06,0.595020931,0.00013707,
Potri.006G040000,26.67998818,2,1.61E-06,0.542614473,0.000147015,
Potri.015G053600,26.60507934,2,1.67E-06,2.416555392,0.000152025,
Potri.001G345300,26.54618049,2,1.72E-06,0.312107733,0.000155955,
Potri.009G120800,26.53671262,2,1.73E-06,0.376162227,0.000156083,
Potri.002G216100,26.4340721,2,1.82E-06,0.836382396,0.000163034,
Potri.007G032700,29.42920657,3,1.82E-06,0.42316202,0.000163034,
Potri.008G201600,26.33589381,2,1.91E-06,0.377780494,0.00017057,
Potri.001G472800,26.31661909,2,1.93E-06,0.23861622,0.000171559,
Potri.002G008800,26.1550245,2,2.09E-06,0.277800562,0.000185284,
Potri.010G185000,26.01127134,2,2.25E-06,0.704083956,0.000198332,
Potri.002G048666,25.97037234,2,2.29E-06,0.892621966,0.000200896,
Potri.007G040400,25.97098367,2,2.29E-06,0.417241802,0.000200896,
Potri.013G151300,25.91922463,2,2.35E-06,1.182419807,0.000205322,
Potri.001G455800,25.90670344,2,2.37E-06,0.344283463,0.000205835,
Potri.016G088700,25.84126686,2,2.45E-06,0.576092224,0.000211884,
Potri.002G246100,25.82611893,2,2.47E-06,0.858122702,0.000211907,
Potri.011G063800,25.82668337,2,2.46E-06,0.404942325,0.000211907,
Potri.005G170600,25.6898158,2,2.64E-06,1.21095727,0.000226013,
Potri.001G004100,25.61470953,2,2.74E-06,0.372386759,0.000232936,
Potri.002G059600,25.61950723,2,2.73E-06,0.563437211,0.000232936,
Potri.001G174900,25.51924198,2,2.87E-06,0.555101717,0.00024343,
Potri.010G128300,25.44777618,2,2.98E-06,1.272686898,0.000251365,
Potri.001G098300,25.43546969,2,3.00E-06,0.959651043,0.000251996,
Potri.019G038268,25.42405804,2,3.01E-06,0.3806359,0.00025252,
Potri.014G114700,25.30701139,2,3.20E-06,0.373540635,0.000266773,
Potri.010G113100,25.25347407,2,3.28E-06,0.592046587,0.000273025,
Potri.006G040700,28.09630575,3,3.47E-06,0.828725512,0.000287276,
Potri.001G473300,25.11838518,2,3.51E-06,0.296935008,0.000290017,
Potri.011G045500,24.93665838,2,3.85E-06,0.395018512,0.000316473,
Potri.008G110700,24.91366408,2,3.89E-06,1.136950098,0.000318997,
Potri.009G041800,24.85716994,2,4.00E-06,1.285546207,0.000326977,
Potri.006G144500,24.81617942,2,4.09E-06,0.868359621,0.000331405,
Potri.019G123200,24.82268197,2,4.07E-06,0.822749739,0.000331405,
Potri.013G061800,24.79006037,2,4.14E-06,0.408921449,0.000334588,
Potri.003G138100,24.7026847,2,4.32E-06,0.36563348,0.000348311,
Potri.013G072600,24.65557577,2,4.43E-06,0.347405867,0.000355375,
Potri.009G087200,24.604333,2,4.54E-06,0.67297319,0.000363336,
Potri.011G151300,27.46456356,3,4.70E-06,4.112845364,0.000375034,
Potri.006G136700,24.4139437,2,5.00E-06,0.298116571,0.000396877,
Potri.013G105900,24.36526615,2,5.12E-06,0.4240961,0.000405262,
Potri.001G109300,24.32240447,2,5.23E-06,2.220449036,0.000412628,
Potri.019G085800,24.30718302,2,5.27E-06,0.860325728,0.000414366,
Potri.012G134100,24.14045857,2,5.73E-06,2.157688269,0.000448862,
Potri.007G088700,24.0679204,2,5.94E-06,2.474948608,0.000463868,
Potri.014G092300,24.06115553,2,5.96E-06,0.325244988,0.000463873,
Potri.009G034700,24.00590921,2,6.13E-06,0.537539803,0.000475265,
Potri.013G067300,23.96434174,2,6.25E-06,0.370504322,0.000483623,
Potri.002G216400,23.93367612,2,6.35E-06,0.751558614,0.000489459,
Potri.007G146900,23.91754795,2,6.40E-06,1.283006266,0.000491782,
Potri.014G075100,26.75141851,3,6.64E-06,0.24648381,0.000508145,
Potri.004G117500,29.27696447,4,6.87E-06,1.470112802,0.000523973,
Potri.012G132200,23.76593971,2,6.91E-06,1.015977258,0.000525276,
Potri.001G454500,23.72883463,2,7.04E-06,0.619302263,0.000533357,
Potri.006G061800,23.68040178,2,7.21E-06,0.838085737,0.000544645,
Potri.004G067000,23.6249354,2,7.41E-06,0.416499484,0.000558137,
Potri.001G287400,23.56486438,2,7.64E-06,1.334836997,0.000573288,
Potri.002G110600,23.51911565,2,7.81E-06,2.554717052,0.000584655,
Potri.016G111800,23.47664621,2,7.98E-06,0.789365023,0.000595276,
Potri.010G100200,23.42911877,2,8.17E-06,0.310314566,0.000607631,
Potri.006G060600,23.40288973,2,8.28E-06,0.442410114,0.00060812,
Potri.008G156800,23.4143379,2,8.23E-06,0.748872866,0.00060812,
Potri.011G131900,23.39561158,2,8.31E-06,0.371741759,0.00060812,
Potri.016G033200,23.40324021,2,8.28E-06,0.234489973,0.00060812,
Potri.016G071500,23.39715522,2,8.31E-06,0.298848085,0.00060812,
Potri.009G053900,23.33322907,2,8.58E-06,0.981525213,0.000625408,
Potri.002G067100,23.22716414,2,9.04E-06,0.858714764,0.000657396,
Potri.009G011200,23.20419315,2,9.15E-06,0.798622561,0.000662906,
Potri.001G410700,23.19206579,2,9.20E-06,0.483555947,0.000663253,
Potri.010G199500,23.1906469,2,9.21E-06,0.450646133,0.000663253,
Potri.007G046700,23.07197453,2,9.77E-06,0.583297186,0.000699441,
Potri.010G012100,23.073182,2,9.77E-06,0.98656894,0.000699441,
Potri.011G033100,23.02186151,2,1.00E-05,0.479483406,0.000714974,
Potri.001G404400,23.00620224,2,1.01E-05,2.965129697,0.000718377,
Potri.018G052200,22.97285387,2,1.03E-05,0.551762006,0.000728215,
Potri.008G060600,22.92106728,2,1.05E-05,0.282941931,0.000745032,
Potri.005G021100,22.90463223,2,1.06E-05,0.681258996,0.00074705,
Potri.012G058100,22.90346181,2,1.06E-05,0.389880495,0.00074705,
Potri.004G203400,22.73612901,2,1.16E-05,0.306925452,0.000804903,
Potri.011G069600,22.745986,2,1.15E-05,0.414915398,0.000804903,
Potri.012G145100,22.74099757,2,1.15E-05,0.860550174,0.000804903,
Potri.010G237700,22.6644688,2,1.20E-05,0.920644395,0.00083176,
Potri.001G358200,22.63455511,2,1.22E-05,0.471764713,0.000841766,
Potri.014G162900,22.5371835,2,1.28E-05,0.504874986,0.000881124,
Potri.005G068700,22.49750582,2,1.30E-05,12.08706602,0.000893445,
Potri.015G073800,22.49890965,2,1.30E-05,0.592459326,0.000893445,
Potri.013G151432,22.44684068,2,1.34E-05,0.816724224,0.000910961,
Potri.016G128300,22.45203315,2,1.33E-05,46.22615273,0.000910961,
Potri.009G101500,22.38033975,2,1.38E-05,0.737702942,0.00093899,
Potri.010G082700,22.34311073,2,1.41E-05,1.619419458,0.000953827,
Potri.002G109300,25.16089821,3,1.43E-05,0.646680581,0.00096596,
Potri.002G094700,22.24877803,2,1.47E-05,1.11875503,0.000994064,
Potri.011G077700,22.21890071,2,1.50E-05,0.835616059,0.001006092,
Potri.012G092000,22.18951137,2,1.52E-05,0.401077644,0.001018026,
Potri.009G006500,22.15851992,2,1.54E-05,0.312405184,0.001030935,
Potri.006G096900,22.13115219,2,1.56E-05,0.606408186,0.001042128,
Potri.004G153300,22.08679436,2,1.60E-05,0.917042145,0.001059393,
Potri.019G038226,22.09171739,2,1.60E-05,3.28607565,0.001059393,
Potri.013G157900,22.06554606,2,1.62E-05,0.311407934,0.001067649,
Potri.006G087800,21.97840464,2,1.69E-05,0.529193151,0.001112018,
Potri.006G211200,21.96048452,2,1.70E-05,0.498331669,0.001118839,
Potri.001G213400,21.94248312,2,1.72E-05,0.851376678,0.001125757,
Potri.005G057300,21.92695473,2,1.73E-05,1.181175877,0.001127138,
Potri.008G108201,21.92682736,2,1.73E-05,0.610670183,0.001127138,
Potri.019G121200,21.92310544,2,1.74E-05,1.081428196,0.001127138,
Potri.002G113600,21.89217591,2,1.76E-05,2.776243362,0.001138912,
Potri.017G134900,21.89111771,2,1.76E-05,1.0081633,0.001138912,
Potri.014G024700,21.88310299,2,1.77E-05,0.309096657,0.0011403,
Potri.010G254900,21.78239665,2,1.86E-05,0.419582506,0.001195857,
Potri.019G018500,21.74317181,2,1.90E-05,1.66240433,0.001216164,
Potri.001G101800,21.72788738,2,1.91E-05,0.801811696,0.001218742,
Potri.019G081000,21.73160263,2,1.91E-05,1.089068091,0.001218742,
Potri.004G234100,21.56921868,2,2.07E-05,0.421152322,0.001315744,
Potri.017G115400,21.38252567,2,2.27E-05,0.520201933,0.001440521,
Potri.008G197400,21.2057222,2,2.48E-05,0.477865488,0.001569365,
Potri.010G038100,21.19777699,2,2.49E-05,0.560630417,0.001571318,
Potri.003G131400,21.09026744,2,2.63E-05,0.716825512,0.00165359,
Potri.006G015000,21.081084,2,2.64E-05,0.40676526,0.001656698,
Potri.009G107600,21.04682892,2,2.69E-05,0.338540051,0.001680763,
Potri.001G230604,23.79756986,3,2.75E-05,1.011009063,0.001715704,
Potri.003G073400,20.95984505,2,2.81E-05,1.245530013,0.001746038,
Potri.007G106100,23.73139785,3,2.84E-05,0.691867797,0.001761641,
Potri.015G145700,20.91937558,2,2.87E-05,0.282152946,0.0017722,
Potri.004G158600,20.83300089,2,2.99E-05,0.556512275,0.001845479,
Potri.005G186200,20.75797021,2,3.11E-05,0.863246917,0.001910932,
Potri.010G011700,23.50469275,3,3.17E-05,2.46673173,0.001943508,
Potri.009G099800,20.7069809,2,3.19E-05,0.313455344,0.001949905,
Potri.001G366100,20.69276803,2,3.21E-05,0.688633712,0.00195863,
Potri.010G170000,20.68381761,2,3.23E-05,0.475268003,0.001962237,
Potri.006G041800,20.63003878,2,3.31E-05,0.612902981,0.002010426,
Potri.014G052900,20.58758234,2,3.38E-05,0.466834865,0.002048184,
Potri.005G246000,20.51641812,2,3.51E-05,0.452436711,0.002112229,
Potri.007G140400,20.51555779,2,3.51E-05,0.448829333,0.002112229,
Potri.006G020900,20.48408229,2,3.56E-05,0.417998428,0.002140161,
