,waldStat,df,pvalue,logFC1_2,FDR
Potri.017G062200,5.623822287,1,0.017717967,-1.487720034,0.123423532
Potri.010G223700,5.623280002,1,0.01772345,1.049608099,0.123431322
Potri.004G204400,5.62239076,1,0.017732444,0.811804797,0.123444196
Potri.016G088500,5.622014168,1,0.017736254,-1.353376359,0.123444196
Potri.009G129700,5.621802907,1,0.017738392,0.332174986,0.123444196
Potri.001G301400,5.620772843,1,0.017748821,-1.771503173,0.123486382
Potri.006G195500,5.615523381,1,0.017802064,-1.400394268,0.123826356
Potri.013G010300,5.613974147,1,0.017817808,0.43426796,0.123905399
Potri.010G122000,5.611505291,1,0.017842929,0.9665308,0.124049585
Potri.013G120800,5.610991886,1,0.017848157,-1.276840464,0.12405544
Potri.005G162600,5.609977683,1,0.01785849,-0.604325842,0.124090212
Potri.003G104000,5.609639712,1,0.017861935,-1.404704302,0.124090212
Potri.019G081500,5.607934102,1,0.01787933,-2.555410869,0.124180554
Potri.001G258150,5.606560131,1,0.017893356,1.185863568,0.124226184
Potri.006G153000,5.606429982,1,0.017894685,-0.601676582,0.124226184
Potri.002G067800,5.605640999,1,0.017902744,0.557452971,0.124251635
Potri.010G025000,5.602966769,1,0.01793009,0.375662857,0.124410894
Potri.007G023200,5.601232114,1,0.017947851,-1.183042137,0.124503586
Potri.013G040401,5.599773736,1,0.017962797,3.454957432,0.124553528
Potri.011G041500,5.599670252,1,0.017963858,0.592956414,0.124553528
Potri.011G068300,5.597069154,1,0.017990549,-1.826073181,0.124663186
Potri.001G369200,5.597060364,1,0.01799064,0.890608726,0.124663186
Potri.001G429200,5.596672318,1,0.017994625,0.962586271,0.124663186
Potri.015G146600,5.596411398,1,0.017997305,0.583498844,0.124663186
Potri.013G097300,5.594797675,1,0.018013891,-2.325169503,0.124747522
Potri.001G405025,5.594217033,1,0.018019863,-1.395547886,0.124754649
Potri.013G062301,5.593839925,1,0.018023743,2.290653351,0.124754649
Potri.004G042500,5.593353869,1,0.018028745,0.686985263,0.124758736
Potri.012G095200,5.591159584,1,0.018051342,2.439918007,0.124884556
Potri.010G148500,5.590039227,1,0.018062892,-1.152192763,0.124933896
Potri.003G133800,5.58538766,1,0.018110924,0.639069742,0.1252283
Potri.012G060300,5.584409085,1,0.018121046,-2.010623123,0.1252283
Potri.003G092300,5.584211453,1,0.018123091,-0.80339848,0.1252283
Potri.014G067800,5.584128748,1,0.018123947,0.918215552,0.1252283
Potri.014G180600,5.583776148,1,0.018127596,1.816688268,0.1252283
Potri.009G052700,5.580587575,1,0.018160629,0.675507552,0.125384204
Potri.001G129600,5.580550047,1,0.018161018,-0.855370403,0.125384204
Potri.014G095500,5.580218924,1,0.018164452,-1.155946162,0.125384204
Potri.012G088300,5.579842499,1,0.018168357,-1.201228306,0.125384204
Potri.008G149700,5.579459476,1,0.01817233,0.449213422,0.125384204
Potri.004G179742,5.578254074,1,0.018184843,-1.765468697,0.125439932
Potri.001G384300,5.577255,1,0.01819522,0.548492797,0.125455319
Potri.002G247600,5.577185217,1,0.018195945,7.097955741,0.125455319
Potri.002G172800,5.57563416,1,0.018212069,3.033801515,0.125535882
Potri.007G021600,5.575059966,1,0.018218041,-0.897326509,0.125546452
Potri.011G050700,5.573193366,1,0.018237471,0.851409627,0.125649732
Potri.010G242200,5.571680193,1,0.018253237,1.034761975,0.125699986
Potri.007G087950,5.571640233,1,0.018253654,-1.550408848,0.125699986
Potri.011G039812,5.569894816,1,0.018271858,1.100956319,0.125794717
Potri.001G086400,5.565597667,1,0.018316757,-0.801721646,0.126073135
Potri.019G014366,5.563921485,1,0.018334301,-0.813880903,0.126163187
Potri.002G246000,5.561708766,1,0.018357488,1.202730867,0.126292013
Potri.008G181200,5.561220255,1,0.018362611,-0.824341858,0.126292481
Potri.010G217900,5.560850764,1,0.018366487,0.433285103,0.126292481
Potri.012G108100,5.559743275,1,0.018378109,0.574153499,0.126341683
Potri.007G087000,5.553315109,1,0.018445719,1.656148979,0.126775657
Potri.008G035700,5.548995233,1,0.018491299,0.751664744,0.127058045
Potri.008G191900,5.545752205,1,0.018525593,-1.431527937,0.127262769
Potri.003G070100,5.544014254,1,0.018543998,-0.807239577,0.127337073
Potri.007G045800,5.543880639,1,0.018545414,1.404228892,0.127337073
Potri.016G048500,5.542743934,1,0.018557463,-1.196399227,0.127388878
Potri.009G136800,5.542282134,1,0.018562361,0.526692876,0.127391577
Potri.007G003400,5.540373086,1,0.018582621,0.17642639,0.127499679
Potri.011G169900,5.53837089,1,0.018603894,0.438717602,0.127614678
Potri.003G041000,5.537543494,1,0.018612692,0.582992757,0.127621855
Potri.007G135300,5.536627772,1,0.018622434,-1.810075734,0.127621855
Potri.016G138500,5.536581735,1,0.018622924,-1.360972222,0.127621855
Potri.004G232301,5.536575578,1,0.01862299,-2.717369836,0.127621855
Potri.001G108450,5.534531402,1,0.018644758,-3.527315409,0.127740077
Potri.012G005900,5.533558855,1,0.018655123,1.710815437,0.12778014
Potri.001G284801,5.530484516,1,0.01868793,2.025131026,0.12795297
Potri.003G220100,5.530127337,1,0.018691745,-0.637838824,0.12795297
Potri.014G030500,5.5286928,1,0.018707077,0.588004498,0.12795297
Potri.006G077400,5.528473602,1,0.01870942,0.451639877,0.12795297
Potri.001G181200,5.528332949,1,0.018710924,0.49487094,0.12795297
Potri.001G368100,5.527931323,1,0.01871522,-0.627149468,0.12795297
Potri.001G253400,5.527171883,1,0.018723345,0.352646493,0.12795297
Potri.002G133400,5.526956927,1,0.018725646,-1.849370978,0.12795297
Potri.019G080600,5.526835748,1,0.018726943,-6.602672586,0.12795297
Potri.003G203600,5.526560953,1,0.018729885,-1.425365527,0.12795297
Potri.012G041000,5.526538815,1,0.018730122,0.528754659,0.12795297
Potri.012G043501,5.525175488,1,0.018744723,-1.210128783,0.128021793
Potri.003G120000,5.524207237,1,0.0187551,-0.827588431,0.128041365
Potri.001G018700,5.524063288,1,0.018756643,1.337737635,0.128041365
Potri.012G041800,5.523359149,1,0.018764194,-0.606414771,0.128062
Potri.018G092800,5.520016555,1,0.018800081,2.703114828,0.128275968
Potri.009G149600,5.519229478,1,0.018808541,1.469839315,0.128287072
Potri.017G085100,5.519021265,1,0.01881078,-0.697708313,0.128287072
Potri.001G240400,5.515669628,1,0.018846857,-0.6115592,0.128502123
Potri.006G249400,5.514571888,1,0.018858688,0.333766387,0.128551802
Potri.013G109300,5.512702128,1,0.018878858,-1.363588482,0.128654118
Potri.017G138100,5.51233733,1,0.018882796,-0.517673766,0.128654118
Potri.006G077600,5.511322226,1,0.018893758,0.696966459,0.128697802
Potri.015G040200,5.509752819,1,0.018910719,0.517309927,0.128754219
Potri.001G321000,5.509713376,1,0.018911146,-0.864400043,0.128754219
Potri.005G206200,5.509113492,1,0.018917633,-0.661562804,0.128767389
Potri.008G018300,5.50802595,1,0.0189294,-0.468248552,0.128816481
Potri.008G106400,5.502282829,1,0.018991665,1.853463697,0.129178115
Potri.005G168000,5.502281767,1,0.018991677,-1.150566364,0.129178115
Potri.008G126600,5.499786908,1,0.019018791,0.346856119,0.129331438
Potri.001G026200,5.498793933,1,0.019029594,-1.279359694,0.129356187
Potri.011G073216,5.498611623,1,0.019031578,0.891949472,0.129356187
Potri.007G020600,5.497719822,1,0.019041287,1.852871438,0.129391079
Potri.014G003451,5.497059339,1,0.01904848,1.059424316,0.129408869
Potri.009G090300,5.494854216,1,0.019072518,-0.939292239,0.129535803
Potri.001G229800,5.494505244,1,0.019076325,0.503808484,0.129535803
Potri.011G078200,5.493483574,1,0.019087475,-1.254188882,0.129580403
Potri.003G102300,5.492333287,1,0.019100036,-1.391934441,0.129634564
